PHN_Code,PHN_Name,State,Cluster,PPH_rate_per_100k,Cost_per_person,SEIFA_IRSD_Score
PHN101,Central and Eastern Sydney,NSW,1,1688.577,111.426,1033.035
PHN102,Northern Sydney,NSW,1,1795.76,111.426,1085.809
PHN103,Western Sydney,NSW,3,1616.84,111.426,997.145
PHN104,Nepean Blue Mountains,NSW,3,1695.08,111.426,1005.928
PHN105,South Western Sydney,NSW,3,1639.889,111.426,931.202
PHN106,South Eastern NSW,NSW,3,1651.692,111.426,1002.312
PHN107,Western NSW,NSW,3,1833.08,111.426,970.666
PHN108,Hunter New England and Central Coast,NSW,3,1701.037,111.426,984.104
PHN109,North Coast,NSW,3,1775.222,111.426,971.559
PHN110,Murrumbidgee,NSW,3,2161.56,111.426,974.006
PHN201,North Western Melbourne,VIC,3,1924.654,119.902,995.534
PHN202,Eastern Melbourne,VIC,1,1814.577,119.902,1043.446
PHN203,South Eastern Melbourne,VIC,1,1929.852,119.902,1020.399
PHN204,Gippsland,VIC,0,2171.28,119.902,971.92
PHN206,Western Victoria,VIC,3,1909.154,119.902,1000.029
PHN301,Brisbane North,QLD,1,2314.538,124.859,1029.157
PHN302,Brisbane South,QLD,0,2207.148,124.859,1002.64
PHN303,Gold Coast,QLD,1,2230.0,124.859,1019.139
PHN304,Darling Downs and West Moreton,QLD,0,2431.615,124.859,959.688
PHN305,Western Queensland,QLD,0,3290.25,124.859,953.231
PHN306,"Central Queensland, Wide Bay, Sunshine Coast",QLD,0,2187.852,124.859,977.511
PHN307,Northern Queensland,QLD,0,2450.63,124.859,971.217
PHN401,Adelaide,SA,3,1872.269,120.242,988.491
PHN402,Country SA,SA,3,1826.76,120.242,966.773
PHN501,Perth North,WA,1,1749.538,120.652,1033.126
PHN502,Perth South,WA,3,1722.962,120.652,1007.402
PHN503,Country WA,WA,0,2103.692,120.652,973.971
PHN601,Tasmania,TAS,0,1921.077,125.173,966.117
PHN701,Northern Territory,NT,2,4152.96,158.075,921.922
PHN801,Australian Capital Territory,ACT,1,1703.88,146.791,1070.282
