PHN_Code,PHN_Name,State,PPH_rate_per_100k,Cost_per_person,SEIFA_IRSD_Score,IRSD_Decile_Mean
PHN101,Central and Eastern Sydney,NSW,1688.577,111.426,1033.035,6.871
PHN102,Northern Sydney,NSW,1795.76,111.426,1085.809,9.188
PHN103,Western Sydney,NSW,1616.84,111.426,997.145,5.857
PHN104,Nepean Blue Mountains,NSW,1695.08,111.426,1005.928,5.719
PHN105,South Western Sydney,NSW,1639.889,111.426,931.202,4.225
PHN106,South Eastern NSW,NSW,1651.692,111.426,1002.312,5.46
PHN107,Western NSW,NSW,1833.08,111.426,970.666,3.324
PHN108,Hunter New England and Central Coast,NSW,1701.037,111.426,984.104,4.466
PHN109,North Coast,NSW,1775.222,111.426,971.559,3.917
PHN110,Murrumbidgee,NSW,2161.56,111.426,974.006,3.833
PHN201,North Western Melbourne,VIC,1924.654,119.902,995.534,5.556
PHN202,Eastern Melbourne,VIC,1814.577,119.902,1043.446,7.318
PHN203,South Eastern Melbourne,VIC,1929.852,119.902,1020.399,6.476
PHN204,Gippsland,VIC,2171.28,119.902,971.92,3.923
PHN206,Western Victoria,VIC,1909.154,119.902,1000.029,5.154
PHN301,Brisbane North,QLD,2314.538,124.859,1029.157,7.0
PHN302,Brisbane South,QLD,2207.148,124.859,1002.64,5.983
PHN303,Gold Coast,QLD,2230.0,124.859,1019.139,6.109
PHN304,Darling Downs and West Moreton,QLD,2431.615,124.859,959.688,3.683
PHN305,Western Queensland,QLD,3290.25,124.859,953.231,3.333
PHN306,"Central Queensland, Wide Bay, Sunshine Coast",QLD,2187.852,124.859,977.511,4.102
PHN307,Northern Queensland,QLD,2450.63,124.859,971.217,3.938
PHN401,Adelaide,SA,1872.269,120.242,988.491,5.453
PHN402,Country SA,SA,1826.76,120.242,966.773,3.795
PHN501,Perth North,WA,1749.538,120.652,1033.126,7.0
PHN502,Perth South,WA,1722.962,120.652,1007.402,5.541
PHN503,Country WA,WA,2103.692,120.652,973.971,4.16
PHN601,Tasmania,TAS,1921.077,125.173,966.117,3.906
PHN701,Northern Territory,NT,4152.96,158.075,921.922,4.5
PHN801,Australian Capital Territory,ACT,1703.88,146.791,1070.282,8.582
