PHN_Code,PHN_Name,State,PPH_rate_per_100k
PHN101,Central and Eastern Sydney,NSW,1688.577
PHN102,Northern Sydney,NSW,1795.76
PHN103,Western Sydney,NSW,1616.84
PHN104,Nepean Blue Mountains,NSW,1695.08
PHN105,South Western Sydney,NSW,1639.889
PHN106,South Eastern NSW,NSW,1651.692
PHN107,Western NSW,NSW,1833.08
PHN108,Hunter New England and Central Coast,NSW,1701.037
PHN109,North Coast,NSW,1775.222
PHN110,Murrumbidgee,NSW,2161.56
PHN201,North Western Melbourne,VIC,1924.654
PHN202,Eastern Melbourne,VIC,1814.577
PHN203,South Eastern Melbourne,VIC,1929.852
PHN204,Gippsland,VIC,2171.28
PHN206,Western Victoria,VIC,1909.154
PHN301,Brisbane North,QLD,2314.538
PHN302,Brisbane South,QLD,2207.148
PHN303,Gold Coast,QLD,2230.0
PHN304,Darling Downs and West Moreton,QLD,2431.615
PHN305,Western Queensland,QLD,3290.25
PHN306,"Central Queensland, Wide Bay, Sunshine Coast",QLD,2187.852
PHN307,Northern Queensland,QLD,2450.63
PHN401,Adelaide,SA,1872.269
PHN402,Country SA,SA,1826.76
PHN501,Perth North,WA,1749.538
PHN502,Perth South,WA,1722.962
PHN503,Country WA,WA,2103.692
PHN601,Tasmania,TAS,1921.077
PHN701,Northern Territory,NT,4152.96
PHN801,Australian Capital Territory,ACT,1703.88
