PHN_Code,PHN_Name,SEIFA_IRSD_Score,IRSD_Decile_Mean,PHN_Population
PHN101,Central and Eastern Sydney,1033.035,6.871,1540187
PHN102,Northern Sydney,1085.809,9.188,922267
PHN103,Western Sydney,997.145,5.857,1052966
PHN104,Nepean Blue Mountains,1005.928,5.719,383824
PHN105,South Western Sydney,931.202,4.225,1059102
PHN106,South Eastern NSW,1002.312,5.46,642080
PHN107,Western NSW,970.666,3.324,310016
PHN108,Hunter New England and Central Coast,984.104,4.466,1304853
PHN109,North Coast,971.559,3.917,541513
PHN110,Murrumbidgee,974.006,3.833,248032
PHN201,North Western Melbourne,995.534,5.556,1825174
PHN202,Eastern Melbourne,1043.446,7.318,1519953
PHN203,South Eastern Melbourne,1020.399,6.476,1572551
PHN204,Gippsland,971.92,3.923,300847
PHN205,Murray,974.478,4.324,641650
PHN206,Western Victoria,1000.029,5.154,690224
PHN301,Brisbane North,1029.157,7.0,1047105
PHN302,Brisbane South,1002.64,5.983,1192115
PHN303,Gold Coast,1019.139,6.109,640697
PHN304,Darling Downs and West Moreton,959.688,3.683,597841
PHN305,Western Queensland,953.231,3.333,62503
PHN306,"Central Queensland, Wide Bay, Sunshine Coast",977.511,4.102,899659
PHN307,Northern Queensland,971.217,3.938,703315
PHN401,Adelaide,988.491,5.453,1269423
PHN402,Country SA,966.773,3.795,508680
PHN501,Perth North,1033.126,7.0,1094855
PHN502,Perth South,1007.402,5.541,1028884
PHN503,Country WA,973.971,4.16,529915
PHN601,Tasmania,966.117,3.906,556127
PHN701,Northern Territory,921.922,4.5,228964
PHN801,Australian Capital Territory,1070.282,8.582,450889
