,0
bmi,0.26418245
weight,0.07700983
scc,0.07038342
favc,0.06095557
gender_male,0.055255312
ncp,0.054393437
age,0.03890668
tue,0.03526925
caec_always,0.03361133
caec_frequently,0.03208275
mtrans_public_transportation,0.029494468
height,0.02882162
caec_sometimes,0.028653089
mtrans_walking,0.027856175
family_history_with_overweight,0.027728962
calc_frequently,0.025763191
ch2o,0.02544201
fcvc,0.024752429
faf,0.023884656
calc_sometimes,0.023301115
calc_no,0.012252272
smoke,0.0
mtrans_bike,0.0
mtrans_motorbike,0.0
ageband_0-18,0.0
